ID,accidents_M,injury_M,accidents,injury,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,person_number,car_number,bus_number,truck_number,motorcycle_number,traffic light,fire hydrant,bicycle_number,bench_number,dining table,stop sign,dog,Tree Canopy Percentage,Grass/Shrubs Percentage,Bare Soil Percentage,Water Percentage,Buildings Percentage,Roads Percentage,Other Impervious Percentage,Railroads Percentage
7439,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.40867643,2.158975776,0.0,0.0,0.0,9.941051856,6.345215069,0.0
7438,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54066501,13.00727641,0.0,0.0,0.0,0.0,24.30321452,0.0
7437,0,0,0,0,0.0,3.357,85.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0012000000000000001,0.0,0.0117,0.0,0.0,0.0,5.1691,0.0,1.3558999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414,0.0,0.0,4.0543000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.12265223,1.457857928,0.0,0.0,1.312811227,3.568887944,7.620033074,0.0
7436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59755545,51.22458218,0.0,0.0,0.0,0.898920003,5.36672795,0.0
7435,0,0,0,0,0.0,5.7227,48.1555,29.209000000000003,1.8043,0.0,0.3078,0.0,0.0574,10.2906,0.0034999999999999996,0.0,0.0,0.7805000000000001,0.0,1.7918,1.5699,0.2914,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.43984257,11.19631193,0.0,0.0,0.0,8.492161011,6.95485075,0.0
7434,0,0,0,0,31.358999999999998,14.832799999999999,5.2137,31.4305,0.0,0.0,2.3617,2.2629,0.0,0.0031000000000000003,3.2148000000000003,1.1542999999999999,0.0,0.0,0.0,1.3898000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.81770309,26.26269159,0.0
7433,0,0,0,0,0.0012000000000000001,5.3344000000000005,48.216,24.5648,0.0,0.40819999999999995,0.041800000000000004,0.0,0.0,0.0,0.5688000000000001,0.0,0.0,0.0,0.0,1.8582,0.0,0.0,0.0,0.0,17.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,45.52618693,3.728716475,0.0,0.0,0.0,13.45054092,15.36848329,0.0
7432,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038968598,0.0,0.0,29.60061345,33.77463253,12.66156078,0.0
7431,0,0,0,0,46.4148,5.1973,6.848,2.8469,0.7277,0.0,11.2609,0.0,0.0,0.0,22.5156,0.0,0.0,0.0,0.0,3.2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40177012,6.227769514,0.0,0.0,0.0,15.32968099,24.13133655,0.0
7430,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79566892,10.44890568,0.0,0.0,0.0,21.18605704,9.656230079,0.0
